"STATISTIC","Statistic Label","TLIST(M1)","Month","C02118V02559","Main Reason for Travel","UNIT","VALUE"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M06","2023 June","1","Holiday/leisure/recreation","%","42.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M06","2023 June","2","Visit to friends/relatives","%","33.1"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M06","2023 June","4","Other reason for journey","%","10"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M06","2023 June","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M07","2023 July","3","Business","%","11"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M07","2023 July","1","Holiday/leisure/recreation","%","45"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M07","2023 July","2","Visit to friends/relatives","%","34.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M07","2023 July","4","Other reason for journey","%","9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M07","2023 July","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M08","2023 August","3","Business","%","11.1"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M08","2023 August","1","Holiday/leisure/recreation","%","47.2"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M08","2023 August","2","Visit to friends/relatives","%","33.8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M08","2023 August","4","Other reason for journey","%","8"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M08","2023 August","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M09","2023 September","3","Business","%","16.6"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M09","2023 September","1","Holiday/leisure/recreation","%","47.4"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M09","2023 September","2","Visit to friends/relatives","%","31.7"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M09","2023 September","4","Other reason for journey","%","4.3"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M09","2023 September","-","All reasons for journey","%","100"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M10","2023 October","3","Business","%","15.9"
"ITM04C02","Percentage of Overnight Trips by Foreign Visitors","2023M10","2023 October","1","Holiday/leisure/recreation","%","46.5"
